Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_LEA,Geo_SCHOOL,SE_T001_001,SE_T001_002,SE_T001_003,SE_T001_004,SE_T001_005,SE_T001_006,SE_T001_007,SE_T001_008,SE_T001_009,SE_T002_001,SE_T002_002,SE_T002_003,SE_T002_004,SE_T002_005,SE_T002_006,SE_T002_007,SE_T002_008,SE_T002_009,SE_T003_001,SE_T003_002,SE_T003_003,SE_T003_004,SE_T003_005
"01","Alabama","Alabama","00","01",,,2.50962962962963,2.51104972375691,2.50925925925926,338,181.5,216.5,675,362,432,742444,404730,243723,10786,58804,6934,840,16627,18.6707116104869,1,414430,"0",39,4
"02","Alaska","Alaska","00","02",,,2.53513513513514,2.57142857142857,2.52525252525253,93,39,50,185,77,99,132872,63227,3866,7785,8868,30415,3914,14797,18.0347222222222,29,58855,"0",32,0
"04","Arizona","Arizona","00","04",,,2.50242954324587,2.5191637630662,2.5,515,144,300.5,1029,287,600,1106694,422520,59404,32028,503487,49823,4021,34469,19.5002136752137,546,539192,"0",0,63
"05","Arkansas","Arkansas","00","05",,,2.50819672131148,2.51418439716312,2.50783699059561,244.5,141.5,160,488,282,319,496085,301789,101375,8074,64861,3143,4014,12829,13.6183018867925,79,174772,"0",27,6
"06","California","California","00","06",,,2.500693000693,2.50305882352941,2.50209683568433,2886.5,1062.77835294118,1312,5772,2125,2623,6206088,1437356,337891,719671,3366937,32337,28798,273093,22.9345330250327,314,3733144,"0",509,79
"08","Colorado","Colorado","00","08",,,2.50673575129534,2.50608272506083,2.50873362445415,483,206,229.5,965,411,458,910097,486403,41661,28942,306359,6447,2290,37995,18.7340233545647,240,379345,"0",28,46
"09","Connecticut","Connecticut","00","09",,,2.50766283524904,2.52066115702479,2.50965250965251,261.5,61,130,522,121,259,519710,280407,65686,27001,127615,1370,640,16991,16.7627069133398,23,188470,"0",85,0
"10","Delaware","Delaware","00","10",,,2.57647058823529,2.5,2.68571428571429,43,15.5,18,85,30,35,136046,60112,41155,5271,23707,531,182,5088,15.0477064220183,24,0,"0",3,0
"11","District of Columbia","District of Columbia","00","11",,,2.5327868852459,2.67647058823529,2.58666666666667,61.5,17.5,38,122,34,75,86360,9649,59043,1371,14158,132,76,1931,16.0227678571428,108,0,"0",6,1
"12","Florida","Florida","00","12",,,2.50277008310249,2.50546448087432,2.50231267345051,1083.5,366.5,541,2166,732,1081,2833093,1077901,626557,77817,938240,8501,4744,99333,17.1939402173913,631,1622676,"0",573,210
